Untitled,Pronunciation,Part of speech,English
fhüz,/hʏːʦ/,nnt.,layout
fhágög,/hæːˈgøːg/,nf.,constitution
fhálleaunn,/hæːˈlaʊnˠ/,nf.,aunt
fhállín,/hæːˈliːnʲ/,nf.,infant
fhásóir,/ˈhæːʃoːiɾ/ [ˈhæːʃoːɾ],nm.,rail
fhébrú,/ˈheːbʲɾuː/,adj.,gay
fhéneann,/ˈheːɲəunˠ/,v.,refer
fhéníonn,/ˈheːɲiːɔnˠ/ [ˈheːɲiːnˠ],v.,inhabit
fhép,/heːpˠ/,nnt.,wood
fhífír,/hiːˈfʲiːɾ/,nf.,female
fhícácht,/hiːˈcæːçtʲ/,nnt.,empire
fhíonn,/ˈhiːɔnˠ/ [hiːnˠ],v.,defend
fhíonn,/ˈhiːɔnˠ/ [hiːnˠ],v.,protect
fhíonn,/ˈhiːɔnˠ/ [hiːnˠ],v.,secure
fhíonn,/ˈhiːɔnˠ/ [hiːnˠ],v.,guard
fhíonn,/ˈhiːɔnˠ/ [hiːnˠ],v.,justify
fhítächioird,/hiːˈtˠɛːçɔɾdʲ/,adj.,ironic
fhít,/hiːtˠ/,nm.,mathematics
fhí,/hiː/,adj.,comfortable
fhíp,/hiːpˠ/,prep.,except
fhíp,/hiːpˠ/,prep.,besides
fhódzög,/ˈhoːdˠʦøːg/,nf.,ceiling
fhógeuig,/ˈhoːgɔʏg/,nf.,paragraph
fhógeuig,/ˈhoːgɔʏg/,nf.,clause
fhólbíonn,/ˈhoːɫbˠiːɔnˠ/ [ˈhoːɫbˠiːnˠ],v.,contain
fhóraíonn,/hoːˈʁaiːˌɔnˠ/ [hoːˈʁiːnˠ],v.,duck
fhótüf,/ˈhoːtˠʏːfˠ/,nm.,balcony
fhó,/hoː/,adj.,sophisticated
fhópsín,/ˈhoːpʲʃiːnʲ/,nm.,cork
fhúchéir,/ˈhuːxeːiɾ/ [ˈhuːxeːɾ],nm.,ministry
fhúdh,/huːvˠ/,nm.,resource
fhúg,/huːɟ/,nnt.,bud
fhúhe,/huːˈhe/,nnt.,thread
fhúróir,/ˈhuːʁoːiɾ/ [ˈhuːʁoːɾ],nm.,complex
fhúst,/huːʃtʲ/,adv.,as
fhú,/huː/,adj.,opposite
fhúp,/huːpʲ/,nnt.,emotion
fhúß,/huːsˠ/,nm.,semen
fraf,/fˠʁafˠ/,nm.,shuttle
frab,/fˠʁabˠ/,nm.,track
fraillín,/ˈfˠʁaliːnʲ/,nf.,dungeon
fraileann,/ˈfˠʁaləunˠ/,v.,join
fraeip,/fˠʁaɪ̯pˠ/,nm.,horse
fraíonn,/ˈfˠʁaiːɔnˠ/ [fˠʁiːnˠ],v.,meet
fräg,/fʲɾɛːɟ/,adj.,free
fräreann,/fʲɾɛːˈɾəunˠ/,v.,complement
fräsí,/ˈfˠʁɛːʃiː/,nf.,uniform
frä,/fˠʁɛː/,nnt.,massacre
fräßög,/fˠʁɛːsˠˈsˠøːg/,nf.,brush (for hair)
frialz,/fʲɾɪɫʦ/,nm.,store
friaech,/fʲɾaç/,adj.,available
friael,/fʲɾal/,nnt.,bank (river)
friaesí,/ˈfʲɾaʃiː/,nf.,garbage
friaesí,/ˈfʲɾaʃiː/,nf.,trash
friaesí,/ˈfʲɾaʃiː/,nf.,rubbish
friaesí,/ˈfʲɾaʃiː/,nf.,sewage
friansög,/ˈfʲɾanˠsˠøːg/,nf.,question
friaurz,/fʲɾaʊ̯ɾʒ/,prep.,alongside
fria,/fʲɾa/,pron.,none
friaíonn,/ˈfʲɾaiːɔnˠ/ [fʲɾiːnˠ],v.,state
frioeneuig,/ˈfʲɾɔɲɔʏg/,nf.,conquest
frioens,/fʲɾɔnʲʃ/,nnt.,wizard
frionn,/fʲɾɔnˠ/,v.,steal
frionn,/fʲɾɔnˠ/,v.,rob
friuach,/fʲɾuə̯x/,nm.,courtesy
friua,/fʲɾuə̯/,adj.,fair
friua,/fʲɾuə̯/,adj.,just
friug,/fʲɾɪɟ/,adj.,patient
friu,/fʲɾʊ/,adj.,comic
friste,/fʲɾɪʃˈtʲe/,nm.,bowl
friste,/fʲɾɪʃˈtʲe/,nm.,cup
friste,/fʲɾɪʃˈtʲe/,nm.,pot
fri,/fʲɾɪ/,adj.,backward
freceuech,/ˈfʲɾecʊç/,nnt.,funeral
freazoeachín,/ˈfʲɾəu̯ʦəu̯çiːnʲ/,nm.,sauce
freaenéir,/fʲɾaˈɲeːiɾ/ [fʲɾaˈɲeːɾ],nm.,artery
freann,/fʲɾanˠ/,v.,fail
freog,/fʲɾɔɟ/,nnt.,effort
freo,/fʲɾɔ/,adj.,plain
freuch,/fʲɾʊx/,interj.,okay
freunann,/ˈfʲɾeŋanˠ/,v.,assume
freunann,/ˈfʲɾeŋanˠ/,v.,presume
freunann,/ˈfʲɾeŋanˠ/,v.,deduce
freunann,/ˈfʲɾeŋanˠ/,v.,deem
freunög,/ˈfʲɾɔʏ̯ŋøːg/,nf.,prose
freupaíonn,/ˈfʲɾɔʏ̯pˠaˌiːɔnˠ/ [ˈfʲɾɔʏ̯pˠiːnˠ],v.,embarrass
freupaíonn,/ˈfʲɾɔʏ̯pˠaˌiːɔnˠ/ [ˈfʲɾɔʏ̯pˠiːnˠ],v.,tease
fre,/fʲɾe/,adj.,logical
frobhaíonn,/fˠʁɔˈvˠaiːˌɔnˠ/ [fˠʁɔˈwiːnˠ],v.,murmur
froiat,/fˠʁɪtˠ/,nm.,toast
froei,/fˠʁaɪ̯/,num.,million
froenír,/ˈfˠʁɔɲiːɾ/,nf.,story
fro,/fˠʁɔ/,nnt.,prey
fröz,/fˠʁøːʒ/,nnt.,blasphemy
fröz,/fˠʁøːʒ/,nnt.,heresy
fröm,/fˠʁøːmʲ/,adj.,valid
frönélzán,/ˈfˠʁøːnˠeːɫʦæːnʲ/,nm.,stripe
fröpf,/fʲɾøːpʲfʲ/,nnt.,carriage
fröß,/fʲɾøːsˠ/,interj.,no
fruan,/fˠʁuə̯nʲ/,nnt.,tattoo
fruideaíonn,/fˠʁɪˈdʲaiːˌɔnˠ/ [fˠʁɪˈdʲiːnˠ],v.,depart
frui,/fˠʁɪ/,adv.,barely
frui,/fˠʁɪ/,adv.,merely
frueisíonn,/ˈfˠʁaɪ̯ʃiːɔnˠ/ [ˈfˠʁaɪ̯ʃiːnˠ],v.,nominate
frueumhpigíonn,/fˠʁɔʏ̯mʲˈpʲɪgiːˌɔnˠ/ [fˠʁɔʏ̯mʲˈpʲɪgiːnˠ],v.,hunt
fráfaíonn,/ˈfʲɾæːfˠaˌiːɔnˠ/ [ˈfʲɾæːfˠiːnˠ],v.,paralyze
frásán,/ˈfˠʁæːsˠæːnʲ/,nm.,application
frá,/fˠʁæː/,nnt.,date
fréreann,/ˈfʲɾeːɾanˠ/,v.,limp
fríonn,/ˈfˠʁiːɔnˠ/ [fˠʁiːnˠ],v.,come
fríonn,/ˈfˠʁiːɔnˠ/ [fˠʁiːnˠ],v.,occur
fríonn,/ˈfʲɾiːɔnˠ/ [fʲɾiːnˠ],v.,guess
frísteuig,/ˈfˠʁiːʃtʲɔʏg/,nf.,olive
frógoeuscünfeann,/ˈfˠʁoːɟesˠˌkʏːnʲfʲəunˠ/,v.,upset
frógoeuscünfeann,/ˈfˠʁoːɟesˠˌkʏːnʲfʲəunˠ/,v.,disrupt
frógóir,/ˈfʲɾoːɟoːiɾ/ [ˈfʲɾoːɟoːɾ],nm.,proverb
frúgéir,/fʲɾuːˈgeːiɾ/ [fʲɾuːˈgeːɾ],nm.,widow
frúpóir,/ˈfʲɾuːpˠoːiɾ/ [ˈfʲɾuːpˠoːɾ],nm.,habitat
cafoeonann,/ˈkafˠeŋanˠ/,v.,give
cafoeonann,/ˈkafˠeŋanˠ/,v.,let
cafoeonann,/ˈkafˠeŋanˠ/,v.,allow
cafoeonann,/ˈkafˠeŋanˠ/,v.,permit
cafoeonann,/ˈkafˠeŋanˠ/,v.,enable
cafoeonann,/ˈkafˠeŋanˠ/,v.,approve
cafoeonann,/ˈkafˠeŋanˠ/,v.,deliver
cafoeonann,/ˈkafˠeŋanˠ/,v.,present
cafoeonann,/ˈkafˠeŋanˠ/,v.,provide
caf,/kafˠ/,nnt.,chain
cachann,/kaˈxanˠ/,v.,shoot
cachann,/kaˈxanˠ/,v.,propel
cachann,/kaˈxanˠ/,v.,blast
cachann,/kaˈxanˠ/,v.,hurl
cab,/kabˠ/,nm.,coast
cab,/kabˠ/,nm.,rib
cagaíonn,/ˈkaɟaˌiːɔnˠ/ [ˈkaɟiːnˠ],v.,interfere
caich,/kaç/,adj.,flirtatious
caichán,/ˈkɪçæːnʲ/,nm.,lie
caidz,/kadʲʒ/,prep.,by (author or creator)
caiadzaíonn,/kɪdˠˈʦaiːˌɔnˠ/ [kɪdˠˈʦiːnˠ],v.,wreck
caiann,/kɪnˠ/,adj.,difficult
caiglli,/kaˈglɪ/,adj.,fragile
cailín,/kaˈliːnʲ/,nf.,chapter
cailíonn,/kaˈliːɔnˠ/ [kaˈliːnˠ],v.,invite
caiuchaeueg,/kɪˈxɔʏg/,nf.,diner
caiugír,/ˈkɪɟiːɾ/,nf.,scale (instrument for weighing)
caiurtéir,/ˈkɪʁtˠeːiɾ/ [ˈkɪʁtˠeːɾ],nm.,need
caistíonn,/kaʃˈtʲiːɔnˠ/ [kaʃˈtʲiːnˠ],v.,pardon
cai,/kɪ/,num.,third
callzög,/ˈkaɫʦøːg/,nf.,match (game)
caechtög,/ˈkeçtʲøːg/,nf.,court (of law)
caechtög,/ˈkeçtʲøːg/,nf.,tribunal
caecht,/kaçtʲ/,adj.,due
caeang,/keŋ/,nnt.,neck
caeans,/kəu̯ŋsˠ/,adj.,frequent
caea,/kəu̯/,adv.,today
caeisí,/ˈkaɪ̯ʃiː/,nf.,sap
caez,/kaʒ/,nnt.,horizon
caezán,/keˈʒæːnʲ/,nm.,pandemic
caen,/kanʲ/,adj.,cold
caeozéir,/ˈkaeˌʦeːiɾ/ [ˈkaeʦeːɾ],nm.,armpit
caeuch,/kɔʏ̯ç/,nnt.,honor
caeuzín,/ˈkɔʏ̯ʦiːnʲ/,nm.,interest (curiosity, concern)
caeull,/kɔʏ̯l/,num.,three
caeul,/kɔʏ̯ɫ/,nm.,tag
caeuß,/kesˠ/,adj.,personal
caepeann,/ˈkepʲəunˠ/,v.,weigh
caeßiaíonn,/ˈkeʃaˌiːɔnˠ/ [ˈkeʃiːnˠ],v.,exploit
camm,/kamˠ/,nnt.,pepper
cann,/kanˠ/,v.,open
cartann,/kaʁˈtˠanˠ/,v.,skate
cart,/kaʁtˠ/,adv.,almost
cauf,/kaʊ̯fˠ/,nm.,room (space)
cauzír,/ˈkaʊ̯ʒiːɾ/,nf.,crest
caunann,/ˈkaʊ̯ŋanˠ/,v.,forget
caunsann,/ˈkaʊ̯nˠsˠanˠ/,v.,quit
caunsann,/ˈkaʊ̯nˠsˠanˠ/,v.,give up
caurúir,/kaʊ̯ˈɾuːiɾ/ [kaʊ̯ˈɾuːɾ],nm.,tomb
casán,/kaˈsˠæːnʲ/,nm.,baby
ca,/ka/,adj.,external
ca,/ka/,det.,what
caíonn,/ˈkaiːɔnˠ/ [kiːnˠ],v.,leave (let remain)
caß,/kasˠ/,nm.,midnight
cäféir,/kɛːˈfˠeːiɾ/ [kɛːˈfˠeːɾ],nm.,florist
cädzúir,/ˈkɛːdˠʦuːiɾ/ [ˈkɛːdˠʦuːɾ],nm.,uranium
cäbhír,/ˈkɛːvˠiːɾ/ [ˈkɛːwiːɾ],nf.,wheel
cägír,/ˈkɛːɟiːɾ/,nf.,software
cämm,/kɛːmˠ/,nm.,biscuit
cäng,/kɛːŋ/,adj.,tropical
cäneuig,/ˈkɛːɲɔʏg/,nf.,universe
cäns,/cɛːɲʃ/,nnt.,step (one level of stairs)
cärzóir,/ˈkɛːɾʒoːiɾ/ [ˈkɛːɾʒoːɾ],nm.,sibling
cä,/kɛː/,det.,few
cäptúir,/ˈkɛːpˠtˠuːiɾ/ [ˈkɛːpˠtˠuːɾ],nm.,preparation
chafann,/ˈxafˠanˠ/,v.,spoil
chafán,/ˈxafˠæːnʲ/,nm.,ghost
chagoereann,/ˈxaɟɔˌɾəunˠ/,v.,charm
chagoereann,/ˈxaɟɔˌɾəunˠ/,v.,seduce
chaidh,/xavʲ/,adv.,still
chais,/xaʃ/,adj.,bankrupt
chais,/xaʃ/,adj.,broke
challzaíonn,/ˈxaɫʦaˌiːɔnˠ/ [ˈxaɫʦiːnˠ],v.,peel
chaeg,/xeg/,nnt.,shovel
chardír,/ˈxaʁdˠiːɾ/,nf.,flight
chat,/xatˠ/,nm.,jet
chaíonn,/ˈxaiːɔnˠ/ [xiːnˠ],v.,tackle
chäg,/çɛːg/,prep.,as well as
chä,/xɛː/,nnt.,arrow (weapon)
chia,/ça/,adj.,significant
chiaíonn,/ˈçaiːɔnˠ/ [çiːnˠ],v.,smell (emit odor)
chilláchúß,/çɪˈlæːxuːsˠsˠ/,adv.,only
chiordín,/ˈçɪʁdˠiːnʲ/,nm.,expert
chiordín,/ˈçɪʁdˠiːnʲ/,nm.,specialist
chio,/çɔ/,nnt.,trivia
chioßueunaíonn,/çɪˈsˠeŋaˌiːɔnˠ/ [çɪˈsˠeŋiːnˠ],v.,attach
chiub,/çʊbˠ/,nm.,outline
chi,/çɪ/,nnt.,pattern
chlä,/çlɛː/,adj.,probable
chlä,/çlɛː/,adj.,possible
chläptaíonn,/çlɛːpˠˈtˠaiːˌɔnˠ/ [çlɛːpˠˈtˠiːnˠ],v.,summon
chliad,/çlɪdˠ/,nm.,route
chliaeg,/çlag/,adj.,complex
chliaegán,/çlaˈgæːnʲ/,nm.,underwear
chliar,/çlaʁ/,nnt.,adult
chlia,/çla/,adj.,foreign
chliapsoeueg,/ˈçlapˠsˠɔʏg/,nf.,perfume
chliaß,/çlɪsˠ/,nnt.,pillow
chlioireann,/ˈçlɔɾəunˠ/,v.,crush
chlioireann,/ˈçlɔɾəunˠ/,v.,ruffle
chlioireann,/ˈçlɔɾəunˠ/,v.,cram
chlioireann,/ˈçlɔɾəunˠ/,v.,jam
chlioireann,/ˈçlɔɾəunˠ/,v.,squeeze
chlioireann,/ˈçlɔɾəunˠ/,v.,squash
chliub,/çlɪbˠ/,nm.,combat
chliueg,/çlʊg/,adj.,good
chliueg,/çlʊg/,adj.,excellent
chliueg,/çlʊg/,adj.,fabulous
chliueg,/çlʊg/,adj.,terrific
chliueg,/çlʊg/,adj.,competent
chliueg,/çlʊg/,adj.,nice
chleazípsín,/ˈçleʦiːpˠsˠiːnʲ/,nm.,psychology
chleaechteoß,/çlaçˈtʲɔsˠ/,nm.,farm
chleaesíonn,/ˈçlaʃiːɔnˠ/ [ˈçlaʃiːnˠ],v.,spit
chleaesíonn,/ˈçlaʃiːɔnˠ/ [ˈçlaʃiːnˠ],v.,hiss
chleamhír,/ˈçlemˠiːɾ/,nf.,villain
chleanfann,/çlanˠˈfˠanˠ/,v.,mean (intend)
chleann,/çlenˠ/,nm.,tribute
chlearann,/çleˈʁanˠ/,v.,crumple
chlear,/çləu̯ʁ/,adj.,real
chlear,/çləu̯ʁ/,adj.,authentic
chleaíonn,/ˈçlaiːɔnˠ/ [çliːnˠ],v.,harass
chlei,/çlaɪ̯/,nnt.,chart
chleolann,/ˈçleɫanˠ/,v.,impress
chleoerz,/çlɔɾʒ/,adv.,when
chleonaíonn,/ˈçlɔŋaˌiːɔnˠ/ [ˈçlɔŋiːnˠ],v.,vanish
chleonaíonn,/ˈçlɔŋaˌiːɔnˠ/ [ˈçlɔŋiːnˠ],v.,disappear
chleo,/çlɔ/,adj.,political
chleurdaíonn,/ˈçleʁdˠaˌiːɔnˠ/ [ˈçleʁdˠiːnˠ],v.,inquire
chleuréir,/çlʊˈʁeːiɾ/ [çlʊˈʁeːɾ],nm.,lava
chleups,/çlɔʏ̯pʲʃ/,nnt.,scissors
chle,/çle/,nnt.,text
chle,/çle/,nnt.,document
chlö,/çløː/,nnt.,record (written account)
chlöptóir,/çløːpʲˈtʲoːiɾ/ [çløːpʲˈtʲoːɾ],nm.,tab
chlé,/çleː/,adj.,flat
chlízög,/ˈçliːʦøːg/,nf.,bitch
chlíne,/ˈçliːnʲe/,nnt.,quantum
chlíonn,/ˈçliːɔnˠ/ [çliːnˠ],v.,perform
chló,/çloː/,nnt.,canyon
chlúchtúir,/ˈçluːçtʲuːiɾ/ [ˈçluːçtʲuːɾ],nm.,contest
chlúz,/çluːʒ/,nnt.,download
chlúlíonn,/ˈçluːliːɔnˠ/ [ˈçluːliːnˠ],v.,buy
chlúlíonn,/ˈçluːliːɔnˠ/ [ˈçluːliːnˠ],v.,purchase
chlúlíonn,/ˈçluːliːɔnˠ/ [ˈçluːliːnˠ],v.,shop
chlúste,/çluːʃˈtʲe/,nm.,mirror
chlú,/çluː/,nnt.,video
cheach,/çəu̯x/,nm.,plateau
cheach,/çəu̯ç/,adj.,ugly
cheazác,/ˈçaʦæːk/,nm.,link
cheaeneann,/ˈçaɲəunˠ/,v.,treat
cheanaíonn,/çeˈnˠaiːˌɔnˠ/ [çeˈnˠiːnˠ],v.,startle
cheonn,/çɔnˠ/,v.,keep (continue)
cheonn,/çenˠ/,nm.,vein
cheonn,/çɔnˠ/,nf.,keeper
cheosóir,/ˈçɔsˠoːiɾ/ [ˈçɔsˠoːɾ],nm.,leverage
cheuaneann,/çuə̯ˈnʲəunˠ/,v.,decay
cheuzínúir,/çɔʏ̯ˈʦiːnʲuːˌiɾ/ [çɔʏ̯ˈʦiːnʲuːɾ],nm.,plate
cheurzán,/ˈçɔʏ̯ɾʒæːnʲ/,nm.,chest
cheu,/çɔʏ̯/,adj.,conscious
chogann,/ˈxɔɟanˠ/,v.,bounce
choeansonn,/xəu̯nˠˈsˠɔnˠ/,v.,listen
choehaugír,/xeˈhaʊ̯ɟiːɾ/,nf.,way
chonn,/xɔnˠ/,v.,cry
chonn,/xɔnˠ/,v.,sob
chonn,/xɔnˠ/,v.,weep
chonn,/xɔnˠ/,v.,mourn
choßoeuig,/ˈxɔsˠɔʏg/,nf.,crater
chöchtaíonn,/çøːxˈtˠaiːˌɔnˠ/ [çøːxˈtˠiːnˠ],v.,commute
chöns,/xøːɲʃ/,nnt.,shrub
chöns,/xøːɲʃ/,nnt.,bush
chuacheuig,/xuə̯ˈçɔʏg/,nf.,future
chuanéir,/ˈxuə̯ɲeːiɾ/ [ˈxuə̯ɲeːɾ],nm.,knife
chua,/xuə̯/,nnt.,locksmith
chuig,/xʊˈɪg/,prep.,off
chuineann,/ˈxɪɲəunˠ/,v.,offend
chueoc,/xek/,nm.,scar
chueu,/xɔʏ̯/,adv.,somewhat
chuet,/xetʲ/,nnt.,frog
chüsín,/ˈxʏːʃiːnʲ/,nm.,medium
chü,/çʏː/,prep.,against
cháchop,/ˈxæːxɔpˠ/,nm.,sequence
cháchop,/ˈxæːxɔpˠ/,nm.,order
chágeann,/ˈxæːgəunˠ/,v.,advertise
chágeann,/ˈxæːgəunˠ/,v.,promote
chág,/çæːɟ/,adv.,behind
chébreil,/ˈxeːbʲɾaɪ̯ɫ/,nm.,silicone
chézann,/xeːˈʦanˠ/,v.,share
chézann,/xeːˈʦanˠ/,v.,split
chéz,/xeːʒ/,adj.,happy
chézéchóir,/xeːˈʦeːxoːˌiɾ/ [xeːˈʦeːxoːɾ],nm.,lung
ché,/çeː/,adj.,great (excellent)
chízír,/ˈçiːʦiːɾ/,nf.,seaweed
chíleueg,/ˈçiːlɔʏg/,nf.,furniture
chíleueg,/ˈçiːlɔʏg/,nf.,wardrobe
chíonn,/ˈxiːɔnˠ/ [xiːnˠ],v.,split
chíonn,/ˈxiːɔnˠ/ [xiːnˠ],v.,divide
chí,/xiː/,adj.,moral
chí,/xiː/,adj.,noble
chí,/xiː/,adj.,elite
chípó,/xiːˈpʲoː/,nnt.,shower
chúcht,/xuːxtˠ/,nm.,team
chúlín,/xuːˈliːnʲ/,nf.,campaign
chúnög,/ˈçuːŋøːg/,nf.,mistake
chúnög,/ˈçuːŋøːg/,nf.,error
chúnög,/ˈçuːŋøːg/,nf.,defect
chúr,/çuːɾ/,adj.,local
chúpéir,/xuːˈpʲeːiɾ/ [xuːˈpʲeːɾ],nm.,clothes
chúpéir,/xuːˈpʲeːiɾ/ [xuːˈpʲeːɾ],nm.,garment
ciainíonn,/ˈcanʲiːɔnˠ/ [ˈcanʲiːnˠ],v.,impose
ciaipeann,/ˈcapʲəunˠ/,v.,lend
ciaipeann,/ˈcapʲəunˠ/,v.,loan
ciaeg,/cag/,nnt.,arrival
cianae,/ˈcanˠe/,nnt.,castle
ciat,/catˠ/,adj.,normal
ciat,/catˠ/,adj.,regular
cia,/ca/,adj.,famous
ciaíonn,/caˈiːɔnˠ/ [ciːnˠ],v.,rehearse
cinög,/ˈcɪnʲøːg/,nf.,shooting star
cinsúir,/cɪnʲˈʃuːiɾ/ [cɪnʲˈʃuːɾ],nm.,ticket
cinsúir,/cɪnʲˈʃuːiɾ/ [cɪnʲˈʃuːɾ],nm.,voucher
cintíonn,/ˈcɪnʲtʲiːɔnˠ/ [ˈcɪnʲtʲiːnˠ],v.,wrap
ciofaíonn,/cɪˈfˠaiːˌɔnˠ/ [cɪˈfˠiːnˠ],v.,tease
ciofaíonn,/cɪˈfˠaiːˌɔnˠ/ [cɪˈfˠiːnˠ],v.,flirt
ciofaíonn,/cɪˈfˠaiːˌɔnˠ/ [cɪˈfˠiːnˠ],v.,mock
ciocat,/cɔˈkatˠ/,nnt.,wedge
cionn,/cɔnˠ/,v.,deserve
ciotann,/ˈcɔtˠanˠ/,v.,replicate
ciuin,/cʊnʲ/,nnt.,fringe
ciuef,/cʊfʲ/,nnt.,butter
claigíonn,/ˈkɫɪgiːɔnˠ/ [ˈkɫɪgiːnˠ],v.,discourage
claigíonn,/ˈkɫɪgiːɔnˠ/ [ˈkɫɪgiːnˠ],v.,deter
claineauchull,/kɫaˈɲaʊ̯xʊɫ/,adj.,homosexual
claz,/kɫaʦ/,nnt.,garden
claeoß,/kɫesˠ/,nm.,work
claetíonn,/ˈkɫatʲiːɔnˠ/ [ˈkɫatʲiːnˠ],v.,heal
clae,/kɫe/,nnt.,turmoil
claept,/kɫepʲtʲ/,nnt.,peasant
clanír,/kɫaˈŋiːɾ/,nf.,jersey
claíonn,/ˈkɫaiːɔnˠ/ [kɫiːnˠ],v.,choke
cläsann,/kɫɛːˈsˠanˠ/,v.,search
cläsann,/kɫɛːˈsˠanˠ/,v.,look up
cläsann,/kɫɛːˈsˠanˠ/,v.,scan
cläsann,/kɫɛːˈsˠanˠ/,v.,hunt
cläsann,/kɫɛːˈsˠanˠ/,v.,seek
cläste,/ˈkɫɛːʃtʲe/,nm.,grave
cläp,/clɛːpˠ/,nm.,eel
