Untitled,Pronunciation,Part of speech,English
freníonn,/fʲɾeˈnʲiːɔnˠ/ [ˈfʲɾenʲiːnˠ],v.,elevate
freoim,/fʲɾɔmʲ/,adv.,most
freudz,/fʲɾɔʏ̯dˠʦ/,nnt.,upper class
freunfeann,/fʲɾɔʏ̯nʲˈfʲəunˠ/,v.,identify
freunfeann,/fʲɾɔʏ̯nʲˈfʲəunˠ/,v.,point out
freunfeann,/fʲɾɔʏ̯nʲˈfʲəunˠ/,v.,establish
freunfeann,/fʲɾɔʏ̯nʲˈfʲəunˠ/,v.,diagnose
freuíonn,/fʲɾʊˈiːɔnˠ/ [fʲɾiːnˠ],v.,oppress
freußéir,/fʲɾesˠˈsˠeːiɾ/ [ˈfʲɾesˠsˠeːɾ],nm.,lettuce
fre,/fʲɾe/,nnt.,winter
froillóir,/fˠʁɪˈloːiɾ/ [ˈfˠʁɪloːɾ],nm.,sock
frozúir,/fˠʁɔˈʦuːiɾ/ [ˈfˠʁɔʦuːɾ],nm.,shed
froeunf,/fˠʁenˠfˠ/,nnt.,download
fröchtorzoeueg,/ˌfʲɾøːxtˠɔʁˈʦɔʏg/,nf.,policy
fröguaíonn,/ˌfˠʁøːɟuə̯ˈiːɔnˠ/ [fˠʁøːˈɟuə̯iːnˠ],nnt.,cut
fröguaíonn,/ˌfˠʁøːɟuə̯ˈiːɔnˠ/ [fˠʁøːˈɟuə̯iːnˠ],v.,cut
fröguaíonn,/ˌfˠʁøːɟuə̯ˈiːɔnˠ/ [fˠʁøːˈɟuə̯iːnˠ],v.,divide
fröguaíonn,/ˌfˠʁøːɟuə̯ˈiːɔnˠ/ [fˠʁøːˈɟuə̯iːnˠ],v.,shave
frösí,/ˈfʲɾøːʃiː/,nf.,row
fruanír,/ˈfˠʁuə̯nʲiːɾ/,nf.,filter
fruasír,/ˈfˠʁuə̯ʃiːɾ/,nf.,rail
fruipeann,/fˠʁʊˈpʲəunˠ/,v.,duck
frueog,/fˠʁeɟ/,adj.,next
fruesíonn,/fˠʁʊˈʃiːɔnˠ/ [ˈfˠʁʊʃiːnˠ],v.,access
fruet,/fˠʁʊtʲ/,nnt.,mast
frue,/fˠʁe/,prep.,outside
früfré,/ˈfˠʁʏːfʲɾeː/,nnt.,fish
früdzeuig,/fʲɾʏːdʲˈʒɔʏg/,nf.,rod
früdzeuig,/fʲɾʏːdʲˈʒɔʏg/,nf.,shaft
früdzeuig,/fʲɾʏːdʲˈʒɔʏg/,nf.,bar
früdzeuig,/fʲɾʏːdʲˈʒɔʏg/,nf.,cylinder
früdzeuig,/fʲɾʏːdʲˈʒɔʏg/,nf.,axle
frá,/fˠʁæː/,adj.,rare
frédacht,/ˈfˠʁeːdˠaxtˠ/,nm.,ancestor
frédacht,/ˈfˠʁeːdˠaxtˠ/,nm.,forefather
frómhög,/ˈfʲɾoːmʲøːg/,nf.,drain
frómhög,/ˈfʲɾoːmʲøːg/,nf.,ditch
fróß,/fʲɾoːsˠ/,nnt.,robe
fróß,/fʲɾoːsˠ/,nnt.,gown
frúdzéir,/fʲɾuːdˠˈʦeːiɾ/ [ˈfʲɾuːdˠʦeːɾ],nm.,family (related by blood)
frúdzéir,/fʲɾuːdˠˈʦeːiɾ/ [ˈfʲɾuːdˠʦeːɾ],nm.,clan
frúgeann,/fʲɾuːˈgəunˠ/,v.,pollute
frúgeann,/fʲɾuːˈgəunˠ/,v.,contaminate
frúrán,/ˈfʲɾuːʁæːnʲ/,nm.,eyelid
frú,/fˠʁuː/,adv.,suddenly
frú,/fˠʁuː/,adj.,sudden
frú,/fˠʁuː/,adj.,abrupt
frú,/fˠʁuː/,adj.,swift
cagúir,/kaˈɟuːiɾ/ [ˈkaɟuːɾ],nm.,vacation
caidz,/kadʲʒ/,nnt.,skeleton
caidz,/kadʲʒ/,nnt.,hull
caigán,/ˈkagæːnʲ/,nm.,enemy
caill,/kal/,nnt.,shape
caill,/kal/,nnt.,pattern
caill,/kal/,nnt.,structure
caill,/kal/,nnt.,style
caill,/kal/,nnt.,system
caill,/kal/,nnt.,constellation
caiodzán,/ˈkɪdˠʦæːnʲ/,nm.,pasta
caiogöß,/ˈkɪɟøːsˠ/,nm.,liberty
cairög,/ˈkɪɾøːg/,nf.,basement
cai,/kɪ/,nnt.,dish
cai,/kɪ/,nnt.,plate
cai,/kɪ/,nnt.,platter
caeadoetírdín,/ˌkedˠɔˈtʲiːɾdʲiːnʲ/,nm.,boy
caeiteu,/ˈkaɪ̯tʲʊ/,nnt.,landlord
caei,/kaɪ̯/,pron.,what
caelleaunn,/kaˈlaʊnˠ/,nf.,colony
caelleaunn,/kaˈlaʊnˠ/,nf.,flock
caeláchtoionn,/ˌkalæːxˈtˠɪɔnˠ/,v.,surround
canaíonn,/ˌkanˠaˈiːɔnˠ/ [ˈkanˠiːnˠ],nm.,cause
canaíonn,/ˌkanˠaˈiːɔnˠ/ [ˈkanˠiːnˠ],v.,cause
canaíonn,/ˌkanˠaˈiːɔnˠ/ [ˈkanˠiːnˠ],v.,induce
canóir,/kaˈŋoːiɾ/ [ˈkaŋoːɾ],nm.,channel (of water)
caucheogéir,/ˌkaʊ̯çeˈɟeːiɾ/ [kaʊ̯ˈçeɟeːɾ],nm.,science
caucheugéir,/ˌkaʊ̯çeˈɟeːiɾ/ [kaʊ̯ˈçeɟeːɾ],nnt.,scientist
caudiaß,/ˈkaʊ̯dʲasˠ/,nnt.,tailor
caurlioin,/ˈkaʊ̯ɾlɔnʲ/,det.,several
cau,/kaʊ̯/,prep.,inside
caupsann,/ˈkaʊ̯pˠsˠanˠ/,v.,drown
caupsann,/ˈkaʊ̯pˠsˠanˠ/,v.,drench
caupsann,/ˈkaʊ̯pˠsˠanˠ/,v.,suffocate
cataíonn,/ˌkatˠaˈiːɔnˠ/ [ˈkatˠiːnˠ],v.,contradict
ca,/ka/,adj.,sharp
ca,/ka/,adj.,steep
captann,/ˈkapˠtˠanˠ/,v.,sip
cäcófoeueg,/ˌkɛːkoːˈfˠɔʏg/,nf.,casino
cällínis,/cɛːˈliːnʲɪʃ/,adj.,economic
cälín,/ˈcɛːliːnʲ/,nf.,economy
cänaíonn,/ˌkɛːnˠaˈiːɔnˠ/ [ˈkɛːnˠiːnˠ],v.,obsess
cä,/cɛː/,nnt.,zombie
chläch,/çlɛːx/,pron.,that
chläch,/çlɛːx/,det.,that
chlänaíonn,/ˌçlɛːnˠaˈiːɔnˠ/ [ˈçlɛːnˠiːnˠ],v.,chase
chlä,/çlɛː/,nnt.,tent
chlä,/çlɛː/,nnt.,camp
chlä,/çlɛː/,nnt.,shack
chliaf,/çlafˠ/,nm.,plaque
chlia,/çla/,adj.,cool (fashionable)
chlia,/çla/,adj.,casual
chliaps,/çlapˠsˠ/,adj.,crazy
chliaps,/çlapˠsˠ/,adj.,insane
chliaps,/çlapˠsˠ/,adj.,silly
chlilíonn,/çlɪˈliːɔnˠ/ [ˈçlɪliːnˠ],v.,regret
chlilíonn,/çlɪˈliːɔnˠ/ [ˈçlɪliːnˠ],v.,lament
chlionstímm,/ˈçlɔnˠsˠtˠiːmˠ/,nm.,evidence
chlionstímm,/ˈçlɔnˠsˠtˠiːmˠ/,nm.,symptom
chliu,/çlʊ/,adj.,polite
chlech,/çleç/,nnt.,code (computer)
chleagaíonn,/ˌçlaɟaˈiːɔnˠ/ [ˈçlaɟiːnˠ],v.,analyze
chleagaíonn,/ˌçlaɟaˈiːɔnˠ/ [ˈçlaɟiːnˠ],v.,examine
chleagaíonn,/ˌçlaɟaˈiːɔnˠ/ [ˈçlaɟiːnˠ],v.,review
chleaibhíonn,/çlaˈvʲiːɔnˠ/ [ˈçlavʲiːnˠ],v.,defeat
chleaibhíonn,/çlaˈvʲiːɔnˠ/ [ˈçlavʲiːnˠ],v.,beat
chleaz,/çleʦ/,det.,more
chlealzaíonn,/ˌçlaɫʦaˈiːɔnˠ/ [ˈçlaɫʦiːnˠ],v.,arrange
chlearaíonn,/ˌçlaʁaˈiːɔnˠ/ [ˈçlaʁiːnˠ],v.,bend
chleaus,/çlaʊ̯ʃ/,prep.,on
chleiíonn,/çlaɪ̯ˈiːɔnˠ/ [ˈçlaɪ̯iːnˠ],v.,block
chleiíonn,/çlaɪ̯ˈiːɔnˠ/ [ˈçlaɪ̯iːnˠ],v.,deter
chleof,/çlefˠ/,nm.,lease
chleoesí,/ˈçlɔʃiː/,nf.,crusade
chleomm,/çlemˠ/,nm.,music
chleonstímlü,/çlɔnˠsˠˈtˠiːmˠɫʏ/,adj.,evident
chlöführoet,/çløːˈfʲʏːhʁɔtʲ/,adv.,very
chlöführoet,/çløːˈfʲʏːhʁɔtʲ/,adv.,really
chlömm,/çløːmˠ/,nm.,cup
chlömm,/çløːmˠ/,nm.,mug
chlönaíonn,/ˌçløːnˠaˈiːɔnˠ/ [ˈçløːnˠiːnˠ],v.,suppress
chlönaíonn,/ˌçløːnˠaˈiːɔnˠ/ [ˈçløːnˠiːnˠ],v.,inhibit
chlönaíonn,/ˌçløːnˠaˈiːɔnˠ/ [ˈçløːnˠiːnˠ],v.,restrain
chlönaíonn,/ˌçløːnˠaˈiːɔnˠ/ [ˈçløːnˠiːnˠ],v.,squash
chlánaíonn,/ˌçlæːnˠaˈiːɔnˠ/ [ˈçlæːnˠiːnˠ],v.,protest
chléonn,/ˈçleːɔnˠ/ [çleːnˠ],v.,prefer
chlé,/çleː/,nnt.,stereotype
chlíblútíonn,/ˌçliːbʲluːˈtʲiːɔnˠ/ [çliːˈbʲluːtʲiːnˠ],v.,accuse
chlíléir,/çliːˈleːiɾ/ [ˈçliːleːɾ],nm.,shooting star
chlób,/çloːbˠ/,nm.,blouse
chlóllín,/ˈçloːliːnʲ/,nf.,cannon
chlóllín,/ˈçloːliːnʲ/,nf.,artillery
chlómeueg,/çloːˈmʲɔʏg/,nf.,earthquake
chlónúir,/çloːˈŋuːiɾ/ [ˈçloːŋuːɾ],nm.,student
chlúchuerzín,/çluːˈxʊɾʒiːnʲ/,nm.,son
chlú,/çluː/,adj.,intimate
cicht,/cɪçtʲ/,adv.,always
cicht,/cɪçtʲ/,adv.,all the time
ciabhír,/ˈcɪvˠiːɾ/ [ˈcɪwiːɾ],nf.,baby
ciabhír,/ˈcɪvˠiːɾ/ [ˈcɪwiːɾ],nf.,infant
ciag,/cɪɟ/,nnt.,slope
ciag,/cɪɟ/,nnt.,slant
ciag,/cɪɟ/,nnt.,ramp
ciail,/cal/,nnt.,hatch
ciais,/caʃ/,adv.,ago
ciazán,/ˈcaʦæːnʲ/,nm.,column
cianaíonn,/ˌcanˠaˈiːɔnˠ/ [ˈcanˠiːnˠ],v.,serve
ciautha,/ˈcaʊ̯tˠha/,nf.,criminal
cia,/ca/,nnt.,jelly
cia,/ca/,nnt.,jam
cigíonn,/cɪˈgiːɔnˠ/ [ˈcɪgiːnˠ],v.,disturb
cigíonn,/cɪˈgiːɔnˠ/ [ˈcɪgiːnˠ],v.,disrupt
cinír,/ˈcɪnʲiːɾ/,nf.,canopy
cinír,/ˈcɪnʲiːɾ/,nf.,umbrella
ciob,/cɔbˠ/,nm.,race (ethnicity)
ciob,/cɔbˠ/,nm.,ethnicity
ciolzaíonn,/ˌcɪɫʦaˈiːɔnˠ/ [ˈcɪɫʦiːnˠ],v.,enhance
ciolzaíonn,/ˌcɪɫʦaˈiːɔnˠ/ [ˈcɪɫʦiːnˠ],v.,amend
cioerzóir,/cɔɾˈʒoːiɾ/ [ˈcɔɾʒoːɾ],nm.,novice
cioerzóir,/cɔɾˈʒoːiɾ/ [ˈcɔɾʒoːɾ],nm.,rookie
cionn,/ˈcɪɔnˠ/,v.,vow
ciot,/cɔtˠ/,adj.,damn
cird,/cɪɾdʲ/,nnt.,front
cirt,/cɪɾtʲ/,det.,same
ciuall,/cuə̯ɫ/,nm.,location
ciuall,/cuə̯ɫ/,nm.,address
ciua,/cuə̯/,nnt.,dove
ciuesí,/ˈcʊʃiː/,nf.,propaganda
ciuíonn,/cʊˈiːɔnˠ/ [ciːnˠ],v.,receive
ciuíonn,/cʊˈiːɔnˠ/ [ciːnˠ],v.,collect
ciuíonn,/cʊˈiːɔnˠ/ [ciːnˠ],v.,earn
ciuíonn,/cʊˈiːɔnˠ/ [ciːnˠ],v.,get
ciuíonn,/cʊˈiːɔnˠ/ [ciːnˠ],v.,acquire
ciuíonn,/cʊˈiːɔnˠ/ [ciːnˠ],v.,gather
ciuíonn,/cʊˈiːɔnˠ/ [ciːnˠ],v.,accumulate
ciuíonn,/cʊˈiːɔnˠ/ [ciːnˠ],v.,compile
cist,/cɪʃtʲ/,nnt.,bicycle
ci,/cɪ/,pron.,this
ci,/cɪ/,det.,this
ci uaá,/cɪ uˈəæː/,adv.,tonight
clabhann,/ˈkɫavˠanˠ/ [ˈkɫawanˠ],v.,choose
clabhann,/ˈkɫavˠanˠ/ [ˈkɫawanˠ],v.,select
claizán,/ˈkɫaʒæːnʲ/,nm.,bracket
clainír,/ˈkɫanʲiːɾ/,nf.,amount
clainír,/ˈkɫanʲiːɾ/,nf.,quantity
clainír,/ˈkɫanʲiːɾ/,nf.,volume
clainír,/ˈkɫanʲiːɾ/,nf.,capacity
claeonn,/ˈkɫeɔnˠ/,v.,remove
claeonn,/ˈkɫeɔnˠ/,v.,take out
claereann,/kɫeˈɾəunˠ/,v.,polish
claereann,/kɫeˈɾəunˠ/,v.,shine
claereann,/kɫeˈɾəunˠ/,v.,refine
claesíonn,/kɫaˈʃiːɔnˠ/ [ˈkɫaʃiːnˠ],v.,rest
claesíonn,/kɫaˈʃiːɔnˠ/ [ˈkɫaʃiːnˠ],v.,relax
claesíonn,/kɫaˈʃiːɔnˠ/ [ˈkɫaʃiːnˠ],v.,nap
claun,/kɫaʊ̯nʲ/,nnt.,corpse
claun,/kɫaʊ̯nʲ/,nnt.,carcass
cläbhóir,/clɛːˈvˠoːiɾ/ [ˈclɛːwoːɾ],nm.,hair (of head)
cläbhóir,/clɛːˈvˠoːiɾ/ [ˈclɛːwoːɾ],nm.,hair (of body)
clärt,/clɛːɾtʲ/,adj.,necessary
clät,/clɛːtˠ/,nm.,illusion
cläpt,/clɛːpʲtʲ/,adv.,nowadays
cliaemhín,/ˈclamʲiːnʲ/,nm.,stalemate
clianaíonn,/ˌclanˠaˈiːɔnˠ/ [ˈclanˠiːnˠ],v.,assign
clianaíonn,/ˌclanˠaˈiːɔnˠ/ [ˈclanˠiːnˠ],v.,allocate
clians,/clanˠsˠ/,det.,whose
cliatóir,/claˈtˠoːiɾ/ [ˈclatˠoːɾ],nm.,wrist
cliatóir,/claˈtˠoːiɾ/ [ˈclatˠoːɾ],nm.,ankle
cliof,/clɪfˠ/,nnt.,noon
cliof,/clɪfˠ/,nnt.,midday
clionn,/ˈclɪɔnˠ/,v.,spit
cliuatunóir,/ˌcluə̯tˠʊˈŋoːiɾ/ [cluə̯ˈtˠʊŋoːɾ],nm.,cabin
cliuatunóir,/ˌcluə̯tˠʊˈŋoːiɾ/ [cluə̯ˈtˠʊŋoːɾ],nm.,hut
cliuatunóir,/ˌcluə̯tˠʊˈŋoːiɾ/ [cluə̯ˈtˠʊŋoːɾ],nm.,inn
cliuatunóir,/ˌcluə̯tˠʊˈŋoːiɾ/ [cluə̯ˈtˠʊŋoːɾ],nm.,lodge
cli,/clɪ/,adj.,random
cleain,/clanʲ/,adj.,false
cleain,/clanʲ/,adj.,fake
cleallzín,/ˈcleɫʦiːnʲ/,nm.,chapter
cleamm,/clamˠ/,nnt.,process
cleamm,/clamˠ/,nnt.,procedure
clelliaunrea,/cleˌlaʊˈnˠɾəu/,nm.,grocer
cleleaunn,/cleˈlaʊnˠ/,nf.,vegetable
clenéir,/cleˈnʲeːiɾ/ [ˈclenʲeːɾ],nm.,gossip
cleo,/clɔ/,adj.,sensible
cleull,/clʊɫ/,nm.,wind
cleull,/clʊɫ/,nm.,breeze
cleumír,/ˈclʊmˠiːɾ/,nf.,recipe
cleumír,/ˈclʊmˠiːɾ/,nf.,formula
cleung,/clʊŋ/,adj.,sorry
cleur,/cleʁ/,nnt.,bully
cleustín,/ˈclʊsˠtˠiːnʲ/,nm.,rifle
cleu,/clʊ/,nnt.,nurse
cle,/cle/,adj.,dry
cle,/cle/,adj.,sober
clepeann,/cleˈpʲəunˠ/,v.,reap
clepeann,/cleˈpʲəunˠ/,v.,plow
clobhöns,/ˈkɫɔvˠøːɲʃ/ [ˈkɫɔwøːɲʃ],nnt.,eyelash
cloitóir bop,/kɫɔˈtʲoːiɾ bˠɔpˠ/ [ˈkɫɔtʲoːɾ bˠɔpˠ],nm.,firearm
cloitóir áfír,/kɫɔˈtʲoːiɾ ˈæːfˠiːɾ/ [ˈkɫɔtʲoːɾ ˈæːfˠiːɾ],nf.,train
cloeaíonn,/kɫəu̯ˈiːɔnˠ/ [ˈkɫəu̯iːnˠ],v.,must
cloeaíonn,/kɫəu̯ˈiːɔnˠ/ [ˈkɫəu̯iːnˠ],v.,have to
cloeiz,/kɫaɪ̯ʦ/,nnt.,loop
cloeiz,/kɫaɪ̯ʦ/,nnt.,curve
cloetóir,/kɫɔˈtʲoːiɾ/ [ˈkɫɔtʲoːɾ],nm.,fire
clo,/kɫɔ/,nnt.,wrinkle
clo,/kɫɔ/,nnt.,crease
clo,/kɫɔ/,nnt.,kink (sharp twist)
clönstiau,/ˈkɫøːnʲʃtʲaʊ̯/,nnt.,jaw
clöp,/kɫøːpˠ/,nm.,erection
cluahänaíonn,/kɫuə̯ˌhɛːnˠaˈiːɔnˠ/ [kɫuə̯ˈhɛːnˠiːnˠ],v.,endorse
cluinteoinf,/ˈkɫʊnʲtʲɔnʲfʲ/,adj.,good
cluinteoinf,/ˈkɫʊnʲtʲɔnʲfʲ/,adj.,precious
cluinteoinf,/ˈkɫʊnʲtʲɔnʲfʲ/,adj.,appropriate
cluinteoinf,/ˈkɫʊnʲtʲɔnʲfʲ/,adj.,fine (okay)
cluinteoinf,/ˈkɫʊnʲtʲɔnʲfʲ/,adj.,rare
clueansaíonn,/ˌkɫeŋsˠaˈiːɔnˠ/ [ˈkɫeŋsˠiːnˠ],v.,beat (strike)
clueansaíonn,/ˌkɫeŋsˠaˈiːɔnˠ/ [ˈkɫeŋsˠiːnˠ],v.,collide
cluenín,/ˈkɫeɲiːnʲ/,nm.,future
clüs,/kɫʏːʃ/,nnt.,carbohydrate
clüp,/kɫʏːpˠ/,nm.,priority
clácht,/clæːxtˠ/,nm.,rabbit
clág,/clæːɟ/,nnt.,handcuff
clánaíonn,/ˌclæːnˠaˈiːɔnˠ/ [ˈclæːnˠiːnˠ],v.,go down
clánaíonn,/ˌclæːnˠaˈiːɔnˠ/ [ˈclæːnˠiːnˠ],v.,descend
clánaíonn,/ˌkɫæːnˠaˈiːɔnˠ/ [ˈkɫæːnˠiːnˠ],v.,surprise
clátúir,/clæːˈtˠuːiɾ/ [ˈclæːtˠuːɾ],nm.,siege
clá,/clæː/,nnt.,adventure
cléf,/cleːfˠ/,nm.,victim
cléf,/cleːfˠ/,nm.,prey
clénfög,/ˈkɫeːnˠfˠøːg/,nf.,silk
clénann,/ˈkɫeːnˠanˠ/,v.,interrupt
clénann,/ˈkɫeːnˠanˠ/,v.,interfere
clérzéir,/kɫeːɾˈʒeːiɾ/ [ˈkɫeːɾʒeːɾ],nm.,home
clé,/kɫeː/,adj.,fuzzy
